no,sut,nama_komoditas,prov,wilayah,tahun_analisis,tipe_lahan,lokasi,tipe_landuse,sampingan,siklus tanam
26,MONOKULTUR,KELAPA SAWIT,SUMATERA SELATAN,MUSI BANYUASIN,2014,GAMBUT,MUSI BANYUASIN,KEBUN,,
27,MONOKULTUR,PADI,SUMATERA SELATAN,MUSI BANYUASIN,2014,GAMBUT,MUSI BANYUASIN,SAWAH,,
28,MONOKULTUR,KARET,SUMATERA SELATAN,MUSI BANYUASIN,2014,GAMBUT,MUSI BANYUASIN,KEBUN,,
29,AGROFORESTRI,KARET AF,SUMATERA SELATAN,MUSI BANYUASIN,2014,GAMBUT,MUSI BANYUASIN,KEBUN,,
30,MONOKULTUR,KELAPA SAWIT LARGE SCALE,SUMATERA SELATAN,MUSI BANYUASIN,2014,GAMBUT,MUSI BANYUASIN,KEBUN,,
31,MONOKULTUR,KELAPA,SUMATERA SELATAN,BANYUASIN,2014,GAMBUT,BANYUASIN,KEBUN,,
32,MONOKULTUR,KELAPA SAWIT LARGE SCALE,SUMATERA SELATAN,BANYUASIN,2014,GAMBUT,BANYUASIN,KEBUN,,
33,MONOKULTUR,KARET,SUMATERA SELATAN,BANYUASIN,2014,GAMBUT,BANYUASIN,KEBUN,,
34,AGROFORESTRI,KARET AF,SUMATERA SELATAN,BANYUASIN,2014,GAMBUT,BANYUASIN,KEBUN,,
35,MONOKULTUR,KELAPA SAWIT,SUMATERA SELATAN,BANYUASIN,2014,GAMBUT,BANYUASIN,KEBUN,,
36,MONOKULTUR,JAGUNG,SUMATERA SELATAN,BANYUASIN,2014,GAMBUT,BANYUASIN,KEBUN,,
37,MONOKULTUR,PADI,SUMATERA SELATAN,BANYUASIN,2014,GAMBUT,BANYUASIN,SAWAH,,
38,MONOKULTUR,KARET,SUMATERA SELATAN,OKI,2020,GAMBUT,OKI,KEBUN,,
39,MONOKULTUR,JAGUNG,SUMATERA SELATAN,OKI,2020,GAMBUT,OKI,KEBUN,,
40,MONOKULTUR,PADI,SUMATERA SELATAN,OKI,2020,GAMBUT,OKI,SAWAH,,
41,AGROFORESTRI,KELAPA SAWIT AF,SUMATERA SELATAN,OKI,2020,GAMBUT,OKI,KEBUN,,
42,MONOKULTUR,KELAPA SAWIT,SUMATERA SELATAN,OKI,2020,GAMBUT,OKI,KEBUN,,
43,AGROFORESTRI,KARET AF,SUMATERA SELATAN,OKI,2020,GAMBUT,OKI,KEBUN,,
44,AGROFORESTRI,KEBUN CAMPUR AF,RIAU,PELALAWAN,2019,MINERAL,PELALAWAN,KEBUN,,
45,MONOKULTUR,JAGUNG,RIAU,PELALAWAN,2019,MINERAL,PELALAWAN,KEBUN,,
46,MONOKULTUR,KARET,RIAU,PELALAWAN,2019,MINERAL,PELALAWAN,KEBUN,,
47,MONOKULTUR,KELAPA SAWIT,RIAU,PELALAWAN,2019,MINERAL,PELALAWAN,KEBUN,,
48,MONOKULTUR,KELAPA,RIAU,PELALAWAN,2019,MINERAL,PELALAWAN,KEBUN,,
49,MONOKULTUR,PADI,RIAU,PELALAWAN,2019,MINERAL,PELALAWAN,SAWAH,,
50,MONOKULTUR,SAGU,RIAU,PELALAWAN,2019,MINERAL,PELALAWAN,KEBUN,,
51,AGROFORESTRI,KARET AF,JAMBI,JAMBI,2018,MINERAL,BATANGHARI DAN MUARA JAMBI,KEBUN,,
52,AGROFORESTRI,KAYU MANIS AF,JAMBI,JAMBI,2018,MINERAL,BATANGHARI DAN MUARA JAMBI,KEBUN,,
