fid,provinsi,kecamatan,desa,kabkot
0,ACEH,TEUPAH SELATAN,PASIR TINGGI,SIMEULUE
1,ACEH,TEUPAH SELATAN,LABUHAN JAYA,SIMEULUE
2,ACEH,TEUPAH SELATAN,SEUNEUBOK,SIMEULUE
3,ACEH,TEUPAH SELATAN,BATU RALANG,SIMEULUE
4,ACEH,TEUPAH SELATAN,KEBUN BARU,SIMEULUE
5,ACEH,TEUPAH SELATAN,PULAU BENGKALAK,SIMEULUE
6,ACEH,TEUPAH SELATAN,BADEGONG,SIMEULUE
7,ACEH,TEUPAH SELATAN,ANA AO,SIMEULUE
8,ACEH,SIMEULUE TENGAH,DIHIT,SIMEULUE
9,ACEH,SIMEULUE TENGAH,SITUFA JAYA,SIMEULUE
10,ACEH,SIMEULUE TENGAH,LAKUBANG,SIMEULUE
11,ACEH,SIMEULUE TENGAH,BUBUHAN,SIMEULUE
12,ACEH,SIMEULUE TENGAH,AMARABU,SIMEULUE
13,ACEH,SIMEULUE TENGAH,KUTA PADANG,SIMEULUE
14,ACEH,SIMEULUE TENGAH,LATAK AYAH,SIMEULUE
15,ACEH,SIMEULUE TENGAH,BORENGAN,SIMEULUE
16,ACEH,SIMEULUE TENGAH,LAUREE,SIMEULUE
17,ACEH,SIMEULUE TENGAH,SUAK BARU,SIMEULUE
18,ACEH,TEUPAH SELATAN,TRANS MERANTI,SIMEULUE
19,ACEH,TEUPAH SELATAN,TRANS JERNGE,SIMEULUE
20,ACEH,SIMEULUE TENGAH,LAUKE,SIMEULUE
21,ACEH,SIMEULUE TENGAH,PUTRA JAYA,SIMEULUE
22,ACEH,SIMEULUE TENGAH,LUAN SORIP,SIMEULUE
23,ACEH,SIMEULUE TENGAH,LAMBAYA,SIMEULUE
24,ACEH,SIMEULUE TENGAH,SEBBE,SIMEULUE
25,ACEH,SIMEULUE TENGAH,LATITIK,SIMEULUE
26,ACEH,SIMEULUE TENGAH,LAMAYANG,SIMEULUE
27,ACEH,SIMEULUE TENGAH,KUTA BATU,SIMEULUE
28,ACEH,SIMEULUE TENGAH,WEL WEL,SIMEULUE
29,ACEH,SIMEULUE TENGAH,WEL LANGKOM,SIMEULUE
30,ACEH,SIMEULUE TENGAH,KUTA INANG,SIMEULUE
31,ACEH,SIMEULUE TENGAH,SIBULUH,SIMEULUE
32,ACEH,SIMEULUE TENGAH,UJUNG PADANG,SIMEULUE
33,ACEH,SIMEULUE TIMUR,HUTAN,SIMEULUE
34,ACEH,TEUPAH SELATAN,BLANG SEBEL,SIMEULUE
35,ACEH,SIMEULUE TENGAH,KAMPUNG AIE,SIMEULUE
36,ACEH,TEUPAH SELATAN,ULUL MANYANG,SIMEULUE
37,ACEH,TEUPAH SELATAN,AREA PDKS,SIMEULUE
38,ACEH,TEUPAH SELATAN,LABUHAN BAKTI,SIMEULUE
39,ACEH,TEUPAH BARAT,ANGKEO,SIMEULUE
40,ACEH,TEUPAH BARAT,SITAL,SIMEULUE
41,ACEH,TEUPAH BARAT,LANTIK,SIMEULUE
42,ACEH,TEUPAH SELATAN,LABUHAN BAJAU,SIMEULUE
43,ACEH,TEUPAH SELATAN,LATALING,SIMEULUE
44,ACEH,TEUPAH SELATAN,TRANS BARU,SIMEULUE
45,ACEH,TELUK DALAM,KUALA BAKTI,SIMEULUE
46,ACEH,TELUK DALAM,GUNUNG PUTIH,SIMEULUE
47,ACEH,TELUK DALAM,BABUSSALAM,SIMEULUE
48,ACEH,TELUK DALAM,MUARA AMAN,SIMEULUE
49,ACEH,TELUK DALAM,LUAN BALU,SIMEULUE
50,ACEH,TELUK DALAM,SAMBAI,SIMEULUE
51,ACEH,TELUK DALAM,BULU HADIK,SIMEULUE
52,ACEH,SIMEULUE TIMUR,MATANURUNG,SIMEULUE
53,ACEH,SIMEULUE TIMUR,LASIKIN,SIMEULUE
54,ACEH,SIMEULUE TIMUR,LANTING,SIMEULUE
55,ACEH,SIMEULUE TIMUR,UJUNG TINGGI,SIMEULUE
56,ACEH,SIMEULUE TIMUR,SIMPANG ABAIL,SIMEULUE
57,ACEH,SIMEULUE TIMUR,NANCAWA,SIMEULUE
58,ACEH,SIMEULUE BARAT,SINAR BAHAGIA,SIMEULUE
59,ACEH,SIMEULUE TIMUR,LABUAH,SIMEULUE
60,ACEH,SIMEULUE TIMUR,SITUBUK,SIMEULUE
61,ACEH,SIMEULUE TIMUR,AIR PINANG,SIMEULUE
62,ACEH,ALAFAN,LAMEREM,SIMEULUE
63,ACEH,ALAFAN,LEWAK,SIMEULUE
64,ACEH,ALAFAN,LHOK DALAM,SIMEULUE
65,ACEH,ALAFAN,LUBUK BAIK,SIMEULUE
66,ACEH,ALAFAN,LANGI,SIMEULUE
67,ACEH,ALAFAN,SERAFON,SIMEULUE
68,ACEH,ALAFAN,LHOK PAUH,SIMEULUE
69,ACEH,SIMEULUE BARAT,MITEUM,SIMEULUE
70,ACEH,SIMEULUE BARAT,SANGGIRAN,SIMEULUE
71,ACEH,SIMEULUE BARAT,LHOK BIKHAO,SIMEULUE
72,ACEH,SIMEULUE BARAT,UJUNG HARAPAN,SIMEULUE
73,ACEH,SIMEULUE BARAT,BABUL MAKMUR,SIMEULUE
74,ACEH,SIMEULUE BARAT,LAYABAUNG,SIMEULUE
75,ACEH,SIMEULUE BARAT,SIGULAI,SIMEULUE
76,ACEH,SIMEULUE BARAT,LAMAMEK,SIMEULUE
77,ACEH,SIMEULUE BARAT,MALASIN,SIMEULUE
78,ACEH,SIMEULUE BARAT,AMABAAN,SIMEULUE
79,ACEH,TEUPAH BARAT,LEUBANG,SIMEULUE
80,ACEH,TEUPAH BARAT,AWE SEUBAL,SIMEULUE
81,ACEH,TEUPAH BARAT,LAAYON,SIMEULUE
82,ACEH,TEUPAH BARAT,BUNON,SIMEULUE
83,ACEH,TEUPAH BARAT,SILENGAS,SIMEULUE
84,ACEH,TEUPAH BARAT,PULAU TEUPAH,SIMEULUE
85,ACEH,TEUPAH BARAT,AWE KECIL,SIMEULUE
86,ACEH,TEUPAH BARAT,SALUR LATUN,SIMEULUE
87,ACEH,TEUPAH BARAT,SALUR,SIMEULUE
88,ACEH,TEUPAH BARAT,NAIBOS,SIMEULUE
89,ACEH,TEUPAH BARAT,INOR,SIMEULUE
90,ACEH,TEUPAH BARAT,MAUDIL,SIMEULUE
91,ACEH,TEUPAH BARAT,NANCALA,SIMEULUE
92,ACEH,SALANG,PANTON LAWE,SIMEULUE
93,ACEH,SALANG,MUTIARA,SIMEULUE
94,ACEH,SALANG,KARYA BAKTI,SIMEULUE
95,ACEH,SALANG,TAMON,SIMEULUE
96,ACEH,SALANG,MEUNAFA,SIMEULUE
97,ACEH,SALANG,JAYA BARU,SIMEULUE
98,ACEH,SALANG,TAMENG,SIMEULUE
99,ACEH,SALANG,LALLA,SIMEULUE
100,ACEH,SALANG,GANANG PUSAKO,SIMEULUE
101,ACEH,SALANG,KENANGAN,SIMEULUE
102,ACEH,SALANG,SUAK MANANG,SIMEULUE
103,ACEH,SALANG,BUNGA,SIMEULUE
104,ACEH,SALANG,NASREUHE,SIMEULUE
105,ACEH,TEUPAH BARAT,SALUR LASENGALU,SIMEULUE
106,ACEH,SIMEULUE TIMUR,KUALA MAKMUR,SIMEULUE
107,ACEH,SIMEULUE TIMUR,SUAK BULUH,SIMEULUE
108,ACEH,SIMEULUE TIMUR,BUSUNG INDAH,SIMEULUE
109,ACEH,SIMEULUE TIMUR,PULAU SIUMAT,SIMEULUE
110,ACEH,SIMEULUE TIMUR,GANTING,SIMEULUE
111,ACEH,TEUPAH SELATAN,LATIUNG,SIMEULUE
112,ACEH,SIMEULUE TIMUR,AMERIA BAHAGIA,SIMEULUE
113,ACEH,SIMEULUE TIMUR,LINGGI,SIMEULUE
114,ACEH,SIMEULUE BARAT,SEMBILAN,SIMEULUE
115,ACEH,SIMEULUE BARAT,LHOK MAKMUR,SIMEULUE
116,ACEH,TELUK DALAM,LUGU SEBAHAK,SIMEULUE
117,ACEH,TELUK DALAM,KUALA BARU,SIMEULUE
118,ACEH,TELUK DALAM,TANJUNG RAYA,SIMEULUE
119,ACEH,TEUPAH BARAT,LEUBANG HULU,SIMEULUE
120,ACEH,SALANG,PADANG UNOI,SIMEULUE
121,ACEH,SALANG,ALONG,SIMEULUE
122,ACEH,SIMEULUE TIMUR,SUKA MAJU,SIMEULUE
123,ACEH,SIMEULUE TIMUR,SUKA KARYA,SIMEULUE
124,ACEH,SIMEULUE TIMUR,ABAIL,SIMEULUE
125,ACEH,SIMEULUE TIMUR,KAHAT,SIMEULUE
126,ACEH,SIMEULUE TIMUR,LUGU,SIMEULUE
127,ACEH,SIMEULUE TIMUR,AIR DINGIN,SIMEULUE
128,ACEH,SIMEULUE TIMUR,SINABANG,SIMEULUE
129,ACEH,SIMEULUE TIMUR,SUKA JAYA,SIMEULUE
130,ACEH,SIMEULUE TIMUR,AMAITENG MULIA,SIMEULUE
131,ACEH,SIMEULUE TIMUR,BATU BATU,SIMEULUE
132,ACEH,SIMEULUE TIMUR,SEFOYAN,SIMEULUE
133,ACEH,SIMEULUE TIMUR,KOTA BATU,SIMEULUE
134,ACEH,SIMEULUE TIMUR,SUA SUA,SIMEULUE
135,ACEH,TEUPAH SELATAN,ALUS ALUS,SIMEULUE
136,ACEH,TEUPAH SELATAN,SUAK LAMATAN,SIMEULUE
137,ACEH,ALAFAN,LAFAKHA,SIMEULUE
138,ACEH,SALANG,UJUNG SALANG,SIMEULUE
139,ACEH,SIMEULUE BARAT,BATU RAGI,SIMEULUE
140,ACEH,SIMPANG KANAN,TUGAN,ACEH SINGKIL
141,ACEH,SIMPANG KANAN,PANGI,ACEH SINGKIL
142,ACEH,SIMPANG KANAN,SIDODADI,ACEH SINGKIL
143,ACEH,GUNUNG MERIAH,SEPING BARU,ACEH SINGKIL
144,ACEH,GUNUNG MERIAH,PENJAHITAN,ACEH SINGKIL
145,ACEH,GUNUNG MERIAH,LABUHAN KERA,ACEH SINGKIL
146,ACEH,GUNUNG MERIAH,TANJUNG BETIK,ACEH SINGKIL
147,ACEH,GUNUNG MERIAH,PERANGUSAN,ACEH SINGKIL
148,ACEH,SURO MAKMUR,ALUR LINCI,ACEH SINGKIL
149,ACEH,PULAU BANYAK,ASANTOLA,ACEH SINGKIL
150,ACEH,DANAU PARIS,BISKANG,ACEH SINGKIL
151,ACEH,GUNUNG MERIAH,BLOK 15,ACEH SINGKIL
152,ACEH,PULAU BANYAK,UJUNG SIALIT,ACEH SINGKIL
153,ACEH,SIMPANG KANAN,UJUNG LIMUS,ACEH SINGKIL
154,ACEH,SINGKIL,UJUNG BAWANG,ACEH SINGKIL
155,ACEH,SINGKIL,UJUNG,ACEH SINGKIL
156,ACEH,GUNUNG MERIAH,TUNAS HARAPAN,ACEH SINGKIL
157,ACEH,GUNUNG MERIAH,TULAAN,ACEH SINGKIL
158,ACEH,SIMPANG KANAN,TUH TUHAN,ACEH SINGKIL
159,ACEH,SINGKIL,TELUK RUMBIA,ACEH SINGKIL
160,ACEH,PULAU BANYAK,TELUK NIBUNG,ACEH SINGKIL
161,ACEH,SINGKIL,TELUK AMBUN,ACEH SINGKIL
162,ACEH,SINGKIL UTARA,TELAGA BAKTI,ACEH SINGKIL
163,ACEH,SIMPANG KANAN,TANJUNG MAS,ACEH SINGKIL
164,ACEH,GUNUNG MERIAH,TANAH MERAH,ACEH SINGKIL
165,ACEH,GUNUNG MERIAH,TANAH BARA,ACEH SINGKIL
166,ACEH,SINGKIL,TAKAL PASIR,ACEH SINGKIL
167,ACEH,SURO MAKMUR,SURO BARU,ACEH SINGKIL
168,ACEH,KOTA BAHARU,SUMBER MUKTI,ACEH SINGKIL
169,ACEH,SIMPANG KANAN,SUKAREJO,ACEH SINGKIL
170,ACEH,SINGKIL,SUKA MAKMUR,ACEH SINGKIL
171,ACEH,PULAU BANYAK,SUKA MAKMUR,ACEH SINGKIL
172,ACEH,GUNUNG MERIAH,SUKA MAKMUR,ACEH SINGKIL
173,ACEH,KUALA BARU,SUKA JAYA,ACEH SINGKIL
174,ACEH,SINGKIL,SUKA DAMAI,ACEH SINGKIL
175,ACEH,SINGKOHOR,SRI KAYU,ACEH SINGKIL
176,ACEH,DANAU PARIS,SITUBUH-TUBUH,ACEH SINGKIL
177,ACEH,DANAU PARIS,SITUBAN MAKMUR,ACEH SINGKIL
178,ACEH,SINGKIL,SITI AMBIA,ACEH SINGKIL
179,ACEH,SURO MAKMUR,SIRIMO MUNGKUR,ACEH SINGKIL
180,ACEH,SURO MAKMUR,SIOMPIN,ACEH SINGKIL
181,ACEH,SINGKOHOR,SINGKOHOR,ACEH SINGKIL
182,ACEH,SIMPANG KANAN,SILATONG,ACEH SINGKIL
183,ACEH,KOTA BAHARU,SELAKAR UDANG,ACEH SINGKIL
184,ACEH,DANAU PARIS,SIKORAN,ACEH SINGKIL
185,ACEH,GUNUNG MERIAH,SIDOREJO,ACEH SINGKIL
186,ACEH,SIMPANG KANAN,SIATAS,ACEH SINGKIL
187,ACEH,GUNUNG MERIAH,SIANJO ANJO MERIAH,ACEH SINGKIL
188,ACEH,SIMPANG KANAN,SERASAH,ACEH SINGKIL
189,ACEH,SINGKIL,SELOK ACEH,ACEH SINGKIL
190,ACEH,GUNUNG MERIAH,SEBATANG,ACEH SINGKIL
191,ACEH,GUNUNG MERIAH,SANGGABERU SILULUSAN,ACEH SINGKIL
192,ACEH,KOTA BAHARU,SAMAR DUA,ACEH SINGKIL
193,ACEH,GUNUNG MERIAH,RIMO,ACEH SINGKIL
194,ACEH,SINGKIL,RANTAU GEDANG,ACEH SINGKIL
195,ACEH,SINGKIL,PULAU SAROK,ACEH SINGKIL
196,ACEH,PULAU BANYAK,PULAU BALAI,ACEH SINGKIL
197,ACEH,PULAU BANYAK,PULAU BAGUK,ACEH SINGKIL
198,ACEH,GUNUNG MERIAH,PERTAMPAKAN,ACEH SINGKIL
199,ACEH,SIMPANG KANAN,PERTABAS,ACEH SINGKIL
200,ACEH,SINGKIL,PEMUKA,ACEH SINGKIL
201,ACEH,SINGKOHOR,PEA JAMBU,ACEH SINGKIL
202,ACEH,SINGKIL,PEA BUMBUNG,ACEH SINGKIL
203,ACEH,SURO MAKMUR,PANGKALAN SILUMPI,ACEH SINGKIL
204,ACEH,SIMPANG KANAN,PANDAN SARI,ACEH SINGKIL
205,ACEH,GUNUNG MERIAH,PANDAN SARI,ACEH SINGKIL
206,ACEH,SIMPANG KANAN,PAKIRAMAN,ACEH SINGKIL
207,ACEH,DANAU PARIS,NAPA GALUH,ACEH SINGKIL
208,ACEH,KOTA BAHARU,MUKTI LINCIR,ACEH SINGKIL
209,ACEH,SINGKOHOR,MUKTI JAYA,ACEH SINGKIL
210,ACEH,SINGKOHOR,MUKTI HARAPAN,ACEH SINGKIL
211,ACEH,SURO MAKMUR,MANDUMPANG,ACEH SINGKIL
212,ACEH,SIMPANG KANAN,LIPAT KAJANG ATAS,ACEH SINGKIL
213,ACEH,SIMPANG KANAN,LIPAT KAJANG,ACEH SINGKIL
214,ACEH,KOTA BAHARU,LENTONG,ACEH SINGKIL
215,ACEH,KOTA BAHARU,LAPAHAN BUAYA,ACEH SINGKIL
216,ACEH,SINGKOHOR,LAE SIPOLA,ACEH SINGKIL
217,ACEH,SIMPANG KANAN,LAE RIMAN,ACEH SINGKIL
218,ACEH,SINGKOHOR,LAE PINANG,ACEH SINGKIL
219,ACEH,SIMPANG KANAN,LAE NIPE,ACEH SINGKIL
220,ACEH,SIMPANG KANAN,LAE GECIH,ACEH SINGKIL
221,ACEH,SIMPANG KANAN,GUHA,ACEH SINGKIL
222,ACEH,SINGKIL,KILANGAN,ACEH SINGKIL
223,ACEH,PULAU BANYAK,HALOBAN,ACEH SINGKIL
224,ACEH,KUALA BARU,KUALA BARU LAUT,ACEH SINGKIL
225,ACEH,GUNUNG MERIAH,LAE BUTAR,ACEH SINGKIL
226,ACEH,SURO MAKMUR,LAE CIKALA,ACEH SINGKIL
227,ACEH,SIMPANG KANAN,LAE GAMBIR,ACEH SINGKIL
228,ACEH,SURO MAKMUR,LAE BANGUN,ACEH SINGKIL
229,ACEH,DANAU PARIS,LAE BALNO,ACEH SINGKIL
230,ACEH,KOTA BAHARU,LADANG BISIK,ACEH SINGKIL
231,ACEH,SIMPANG KANAN,KUTA TINGGI,ACEH SINGKIL
232,ACEH,SIMPANG KANAN,KUTA KERANGAN,ACEH SINGKIL
233,ACEH,SIMPANG KANAN,KUTA BATU,ACEH SINGKIL
234,ACEH,KUALA BARU,KUALA BARU SUNGAI,ACEH SINGKIL
235,ACEH,SINGKIL,KOTA SIMBOLING,ACEH SINGKIL
236,ACEH,SINGKIL UTARA,KETAPANG INDAH,ACEH SINGKIL
237,ACEH,SURO MAKMUR,KETANGKUHAN,ACEH SINGKIL
238,ACEH,SURO MAKMUR,KERAS,ACEH SINGKIL
239,ACEH,KUALA BARU,KAYU MENANG,ACEH SINGKIL
240,ACEH,SINGKIL UTARA,KAMPUNG BARU,ACEH SINGKIL
241,ACEH,SIMPANG KANAN,KAIN GOLONG,ACEH SINGKIL
242,ACEH,GUNUNG MERIAH,GUNUNG LAGAN,ACEH SINGKIL
243,ACEH,SINGKIL UTARA,GOSONG TELAGA UTARA,ACEH SINGKIL
244,ACEH,SINGKIL UTARA,GOSONG TELAGA TIMUR,ACEH SINGKIL
245,ACEH,SINGKIL UTARA,GOSONG TELAGA SELATAN,ACEH SINGKIL
246,ACEH,SINGKIL UTARA,GOSONG TELAGA BARAT,ACEH SINGKIL
247,ACEH,DANAU PARIS,DANAU PINANG,ACEH SINGKIL
248,ACEH,KOTA BAHARU,DANAU BUNGARA,ACEH SINGKIL
249,ACEH,GUNUNG MERIAH,CINGKAM,ACEH SINGKIL
250,ACEH,SIMPANG KANAN,CIBUBUKAN,ACEH SINGKIL
251,ACEH,KOTA BAHARU,BUTAR,ACEH SINGKIL
252,ACEH,SURO MAKMUR,BULU ARA,ACEH SINGKIL
253,ACEH,GUNUNG MERIAH,BUKIT HARAPAN,ACEH SINGKIL
254,ACEH,GUNUNG MERIAH,BLOK VI BARU,ACEH SINGKIL
255,ACEH,GUNUNG MERIAH,BLOK 31,ACEH SINGKIL
256,ACEH,GUNUNG MERIAH,BLOK 18,ACEH SINGKIL
257,ACEH,KOTA BAHARU,MUARA PEA,ACEH SINGKIL
258,ACEH,SINGKIL,PASAR SINGKIL,ACEH SINGKIL
259,ACEH,SURO MAKMUR,BULU SEMA,ACEH SINGKIL
260,ACEH,TRUMON,KUTA PADANG,ACEH SELATAN
261,ACEH,TRUMON,RAKET,ACEH SELATAN
262,ACEH,TRUMON,GAMPONG TENGAH,ACEH SELATAN
263,ACEH,TRUMON,TEPIN TINGGI,ACEH SELATAN
264,ACEH,TRUMON,IE MEUDAMA,ACEH SELATAN
265,ACEH,TRUMON,UJUNG TANOH,ACEH SELATAN
266,ACEH,TRUMON,KEUDE TRUMON,ACEH SELATAN
267,ACEH,TRUMON,KUTA BARU,ACEH SELATAN
268,ACEH,TRUMON,SINGLENG,ACEH SELATAN
269,ACEH,TRUMON,PANTON BILI,ACEH SELATAN
270,ACEH,TRUMON,GUNONG KAPHO,ACEH SELATAN
271,ACEH,TRUMON,GAMPONG TEUNGOH,ACEH SELATAN
272,ACEH,TRUMON,KRUENG BATEE,ACEH SELATAN
273,ACEH,TRUMON,PULO PAYA,ACEH SELATAN
274,ACEH,TRUMON,UPT II PADANG HARAPAN,ACEH SELATAN
275,ACEH,TRUMON,SENEUBOK JAYA (EX UPT V),ACEH SELATAN
276,ACEH,TRUMON TIMUR,TITI POBEN,ACEH SELATAN
277,ACEH,TRUMON TIMUR,ALUR BUJOK,ACEH SELATAN
278,ACEH,TRUMON TIMUR,SEUNEUBOK PUNTHO,ACEH SELATAN
279,ACEH,TRUMON TIMUR,LADANG RIMBA,ACEH SELATAN
280,ACEH,TRUMON TIMUR,JAMBO PAPEUN,ACEH SELATAN
281,ACEH,TRUMON TIMUR,NACA,ACEH SELATAN
282,ACEH,TRUMON TIMUR,IE JEUREUNEH,ACEH SELATAN
283,ACEH,TRUMON TIMUR,KRUNG LUAS,ACEH SELATAN
284,ACEH,TRUMON TIMUR,UPT I SNB PUSAKA,ACEH SELATAN
285,ACEH,TRUMON TIMUR,UPT III COT BAYU,ACEH SELATAN
286,ACEH,TRUMON TIMUR,LHOK RAYA(EX.UPTIV),ACEH SELATAN
287,ACEH,BAKONGAN,UJUNG MANGKI,ACEH SELATAN
288,ACEH,BAKONGAN,KEUDE BAKONGAN,ACEH SELATAN
289,ACEH,BAKONGAN,KAMPUNG BARU,ACEH SELATAN
290,ACEH,KLUET TIMUR,LAWE SAWAH,ACEH SELATAN
291,ACEH,BAKONGAN,SENEUBOK ALUR BULAH,ACEH SELATAN
292,ACEH,BAKONGAN,UJUNG TANOH,ACEH SELATAN
293,ACEH,BAKONGAN,UJUNG GUNUNG CUT,ACEH SELATAN
294,ACEH,BAKONGAN,UJUNG PADANG,ACEH SELATAN
295,ACEH,BAKONGAN,KMP DRIEN,ACEH SELATAN
296,ACEH,BAKONGAN,BUKIT GADING,ACEH SELATAN
297,ACEH,BAKONGAN,RAMBONG,ACEH SELATAN
298,ACEH,BAKONGAN,SEUNEBOK KERANJI,ACEH SELATAN
299,ACEH,BAKONGAN,UJUNG GUNONG RAYEK,ACEH SELATAN
300,ACEH,BAKONGAN,BEUTONG,ACEH SELATAN
301,ACEH,BAKONGAN,JAMBO KEUPOK,ACEH SELATAN
302,ACEH,BAKONGAN,ALUR DUA MAS,ACEH SELATAN
303,ACEH,BAKONGAN TIMUR,UJUNG PULO CUT,ACEH SELATAN
304,ACEH,BAKONGAN TIMUR,PASI SEUBADEH,ACEH SELATAN
305,ACEH,BAKONGAN TIMUR,UJUNG PULO RAYEUK,ACEH SELATAN
306,ACEH,BAKONGAN TIMUR,LADANG RIMBA,ACEH SELATAN
307,ACEH,BAKONGAN TIMUR,SIMPANG,ACEH SELATAN
308,ACEH,BAKONGAN TIMUR,SAWAH TINGKEUM,ACEH SELATAN
309,ACEH,BAKONGAN TIMUR,SEULEUKAT,ACEH SELATAN
310,ACEH,KLUET SELATAN,PASI LEMBANG,ACEH SELATAN
311,ACEH,KLUET SELATAN,UJUNG PADANG,ACEH SELATAN
312,ACEH,KLUET SELATAN,INDRA DAMAI,ACEH SELATAN
313,ACEH,KLUET SELATAN,SUAQ BAKONG,ACEH SELATAN
314,ACEH,KLUET SELATAN,BARAT DAYA,ACEH SELATAN
315,ACEH,KLUET SELATAN,SIALANG,ACEH SELATAN
316,ACEH,KLUET SELATAN,KAPEH,ACEH SELATAN
317,ACEH,KLUET SELATAN,PULO IE,ACEH SELATAN
318,ACEH,KLUET SELATAN,JUA,ACEH SELATAN
319,ACEH,KLUET SELATAN,PASI MERAPAT,ACEH SELATAN
320,ACEH,KLUET SELATAN,UJUNG,ACEH SELATAN
321,ACEH,KLUET SELATAN,LUAR,ACEH SELATAN
322,ACEH,KLUET SELATAN,KEDAI KANDANG,ACEH SELATAN
323,ACEH,KLUET SELATAN,RANTAU BINUANG,ACEH SELATAN
324,ACEH,KLUET SELATAN,UJUNG PASIR,ACEH SELATAN
325,ACEH,KLUET SELATAN,GELUMBUK,ACEH SELATAN
326,ACEH,KLUET SELATAN,KEDAI RUNDING,ACEH SELATAN
327,ACEH,KLUET TIMUR,SAPIK,ACEH SELATAN
328,ACEH,KLUET TIMUR,DURIAN KAWAN,ACEH SELATAN
329,ACEH,KLUET TIMUR,ALAI,ACEH SELATAN
330,ACEH,KLUET TIMUR,PAYA DAPUR,ACEH SELATAN
331,ACEH,KLUET TIMUR,PUCUK LEMBANG,ACEH SELATAN
332,ACEH,KLUET TIMUR,LAWE BULUH DIDI,ACEH SELATAN
333,ACEH,KLUET UTARA,KEDAI PADANG,ACEH SELATAN
334,ACEH,KLUET UTARA,PASI KUALA BAU,ACEH SELATAN
335,ACEH,KLUET UTARA,SUAQ GERINGGENG,ACEH SELATAN
336,ACEH,KLUET UTARA,SIMPANG LHEE,ACEH SELATAN
337,ACEH,KLUET UTARA,SIMPANG EMPAT,ACEH SELATAN
338,ACEH,KLUET UTARA,JAMBO MANYANG,ACEH SELATAN
339,ACEH,KLUET UTARA,LIMAU PURUT,ACEH SELATAN
340,ACEH,KLUET UTARA,PULO KAMBING,ACEH SELATAN
341,ACEH,KLUET UTARA,KAMPUNG PAYA,ACEH SELATAN
342,ACEH,KLUET UTARA,KRUENG BATU,ACEH SELATAN
343,ACEH,KLUET UTARA,GUNONG PULO,ACEH SELATAN
344,ACEH,KLUET UTARA,PULO IE I,ACEH SELATAN
345,ACEH,KLUET UTARA,KRUENG BATEE,ACEH SELATAN
346,ACEH,KLUET UTARA,PASI KUALA ASAHAN,ACEH SELATAN
347,ACEH,KLUET UTARA,FAJAR HARAPAN,ACEH SELATAN
348,ACEH,KLUET UTARA,KRUENG KLUET,ACEH SELATAN
349,ACEH,KLUET UTARA,ALUR MAS,ACEH SELATAN
350,ACEH,KLUET UTARA,KAMPUNG TINGGI,ACEH SELATAN
351,ACEH,KLUET UTARA,KAMPUNG RUAK,ACEH SELATAN
352,ACEH,PASIERAJA,UJUNG PADANG ASAHAN,ACEH SELATAN
353,ACEH,PASIERAJA,PULO IE II,ACEH SELATAN
354,ACEH,PASIERAJA,IE MIRAH,ACEH SELATAN
355,ACEH,PASIERAJA,UJUNG PADANG RASIAN,ACEH SELATAN
356,ACEH,PASIERAJA,PASI RASIAN,ACEH SELATAN
357,ACEH,PASIERAJA,TEUPIN GAJAH,ACEH SELATAN
358,ACEH,PASIERAJA,KAMPUNG BARO,ACEH SELATAN
359,ACEH,PASIERAJA,KRUENG KELEE,ACEH SELATAN
360,ACEH,PASIERAJA,LHOK SIALANG RAYEUK,ACEH SELATAN
361,ACEH,PASIERAJA,LHOK SIALANG CUT,ACEH SELATAN
362,ACEH,PASIERAJA,PAYATEUK,ACEH SELATAN
363,ACEH,PASIERAJA,SILOLO,ACEH SELATAN
364,ACEH,PASIERAJA,KAMPUNG BARU,ACEH SELATAN
365,ACEH,PASIERAJA,SI NEUBOK,ACEH SELATAN
366,ACEH,PASIERAJA,LADANG TUHA,ACEH SELATAN
367,ACEH,PASIERAJA,PANTON BILI,ACEH SELATAN
368,ACEH,PASIERAJA,LADANG TEUNGOH,ACEH SELATAN
369,ACEH,PASIERAJA,PUCUK KRUENG,ACEH SELATAN
370,ACEH,PASIERAJA,MATA IE,ACEH SELATAN
371,ACEH,PASIERAJA,UJUNG BATU,ACEH SELATAN
372,ACEH,KLUET TENGAH,JAMBO PAPAN,ACEH SELATAN
373,ACEH,KLUET TENGAH,KOTO INDARUNG,ACEH SELATAN
374,ACEH,KLUET TENGAH,SIURAI URAI,ACEH SELATAN
375,ACEH,KLUET TENGAH,MALAKA,ACEH SELATAN
376,ACEH,KLUET TENGAH,LAWE MELANG,ACEH SELATAN
377,ACEH,KLUET TENGAH,KOTO,ACEH SELATAN
378,ACEH,KLUET TENGAH,KAMPUNG SAWAH,ACEH SELATAN
379,ACEH,KLUET TENGAH,KAMPUNG PADANG,ACEH SELATAN
380,ACEH,KLUET TENGAH,PULO AIR,ACEH SELATAN
381,ACEH,KLUET TENGAH,MERSAK,ACEH SELATAN
382,ACEH,KLUET TENGAH,SIMPANG DUA,ACEH SELATAN
383,ACEH,KLUET TENGAH,SIMPANG TIGA,ACEH SELATAN
384,ACEH,TAPAKTUAN,GUNUNG KERAMBIL,ACEH SELATAN
385,ACEH,TAPAKTUAN,AIR BERUDANG,ACEH SELATAN
386,ACEH,TAPAKTUAN,LHOK KETAPANG,ACEH SELATAN
387,ACEH,TAPAKTUAN,HILIR,ACEH SELATAN
