sut,komoditas,prov,wilayah,lokasi,tahun,tipe lahan,tipe kebun,rate.p,rate.s,nilai.tukar,total.area,asumsi.peneliti,bagian,faktor,komponen,jenis,unit harga,harga privat,harga sosial,unit,Y1,Y2,Y3,Y4,Y5,Y6,Y7,Y8,Y9,Y10,Y11,Y12,Y13,Y14,Y15,Y16,Y17,Y18,Y19,Y20,Y21,Y22,Y23,Y24,Y25,Y26,Y27,Y28,Y29,Y30,,
,,,,,,,,,,,,,factor capital,input,modal kapital,IHPH,Rp/ha," 4,000 "," 4,000 ",4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,,
,,,,,,,,,,,,,factor capital,input,modal kapital,Aerial Photograph and Interpretation,Rp/ha," 4,000 "," 4,000 ",4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,,
,,,,,,,,,,,,,factor capital,input,modal kapital,Landsat Imagery and Interpretation,Rp/ha," 4,000 "," 4,000 ",4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,,
,,,,,,,,,,,,,factor capital,input,modal kapital,AMDAL ,Rp/ha," 4,000 "," 4,000 ",4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,,
,,,,,,,,,,,,,factor capital,input,modal kapital,Border Mark Maintenance,Rp/km," 2,079 "," 2,079 ",2079.102,"2,079","2,079","2,079","2,079","2,079","2,079","2,079","2,079","2,079","2,079","2,079","2,079","2,079","2,079","2,079","2,079","2,079","2,079","2,079","2,079","2,079","2,079","2,080","2,081","2,082","2,083","2,084","2,082,102","2,083,102","2,084,102",,
,,,,,,,,,,,,,factor capital,input,modal kapital,RKD,Rp/ha," 30,000 ",,,,,,,,,,,,,,,,,,,,70000,,,,,,,,,,,,,,
,,,,,,,,,,,,,factor capital,input,modal kapital,RKL,Rp/ha," 7,500 ",,,,,7500,,,,,7500,,,,,7500,,,,,7500,,,,,,,,,,,,,,
,,,,,,,,,,,,,factor capital,input,modal kapital,RKT,Rp/ha," 1,500 "," 1,500 ",1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,,
,,,,,,,,,,,,,factor capital,input,modal kapital,Main road,Rp/km, 10 , 10 ,9.545,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,"9,545","9,545","9,545",,
,,,,,,,,,,,,,factor capital,input,modal kapital,Secondary road,Rp/km, 19 , 19 ,19.23,19.23,19.23,19.23,19.23,19.23,19.23,19.23,19.23,19.23,19.23,19.23,19.23,19.23,19.23,19.23,19.23,19.23,19.23,19.23,19.23,19.23,19.23,19.23,19.23,19.23,19.23,19.23,19.23,19.23,19.23,,
,,,,,,,,,,,,,factor capital,input,modal kapital,PSDH  for  Meranti,Rp/m3," 26,187 "," 26,187 ",26187.02953,"26,187","26,187","26,187","26,187","26,187","26,187","26,187","26,187","26,187","26,187","26,187","26,187","26,187","26,187","26,187","26,187","26,187","26,187","26,187","26,187","26,187","26,187","26,187","26,187","26,187","26,187","26,187","2,618,702,953","2,618,702,953","2,618,702,953",,
,,,,,,,,,,,,,factor capital,input,modal kapital,PSDH  for  KRC,Rp/m3, 733 , 733 ,732.9609319,733,733,733,733,733,733,733,733,733,733,733,733,733,733,733,733,733,733,733,733,733,733,733,733,733,733,733,"7,329,609,319","7,329,609,319","7,329,609,319",,
,,,,,,,,,,,,,factor capital,input,modal kapital,PSDH  for Kayu Indah,Rp/m3, 80 , 80 ,80.00953711,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,"8,000,953,711","8,000,953,711","8,000,953,711",,
,,,,,,,,,,,,,factor capital,input,modal kapital,DR  for  Meranti,Rp/m3," 26,187 "," 26,187 ",26187.02953,"26,187","26,187","26,187","26,187","26,187","26,187","26,187","26,187","26,187","26,187","26,187","26,187","26,187","26,187","26,187","26,187","26,187","26,187","26,187","26,187","26,187","26,187","26,187","26,187","26,187","26,187","26,187","2,618,702,953","2,618,702,953","2,618,702,953",,
,,,,,,,,,,,,,factor capital,input,modal kapital,DR  for  KRC,Rp/m3, 733 , 733 ,732.9609319,733,733,733,733,733,733,733,733,733,733,733,733,733,733,733,733,733,733,733,733,733,733,733,733,733,733,733,"7,329,609,319","7,329,609,319","7,329,609,319",,
,,,,,,,,,,,,,factor capital,input,modal kapital,DR  for Kayu Indah,Rp/m3, 80 , 80 ,80.00953711,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,"8,000,953,711","8,000,953,711","8,000,953,711",,
,,,,,,,,,,,,,factor capital,input,modal kapital,PBB,Rp/ha," 100,000 "," 100,000 ",100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,,
,,,,,,,,,,,,,factor capital,input,modal kapital,Vehicles documents,Rp/year, 1 , 1 ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,
,,,,,,,,,,,,,factor capital,input,modal kapital,Misc. Expenditures,% of the operation cost, 1 , 1 ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,
,,,,,,,,,,,,,factor capital,input,modal kapital,Working capital,% of the operation cost, 0 , 0 ,rp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,output,output,utama,meranti,Rp/m3," 1,597,655 "," 1,987,242 ",m3,"26,187","26,187","26,187","26,187","26,187","26,187","26,187","26,187","26,187","26,187","26,187","26,187","26,187","26,187","26,187","26,187","26,187","26,187","26,187","26,187","26,187","26,187","26,187","26,187","26,187","26,187","26,187","26,187","26,187","26,187",,
,,,,,,,,,,,,,output,output,sampingan,KRC,Rp/m3," 1,597,655 "," 1,987,242 ",m3,733,733,733,733,733,733,733,733,733,733,733,733,733,733,733,733,733,733,733,733,733,733,733,733,733,733,733,733,733,733,,
,,,,,,,,,,,,,output,output,sampingan,kayu indah,Rp/m3," 1,597,655 "," 1,987,242 ",m3,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,,
